categories,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Answerability Classification,88.11675014862648,88.20269961540515,87.94963623010196
Cause Effect Classification,87.96447304316929,87.72712436744145,87.6813553401402
Coreference Resolution,84.21927728823253,84.32894515991211,84.28038196904319
Data to Text,87.50121968984604,86.77954826276627,86.78566781288022
Dialogue Act Recognition,86.60263182435718,86.53126624652317,86.45609523568835
Grammar Error Correction,85.69921123981476,85.59650647640228,85.73978114128113
Keyword Tagging,85.99576599597931,85.88554694652558,86.06827216148376
Overlap Extraction,84.18812108039856,84.17757046222687,84.21938991546631
Question Rewriting,87.58126211166382,87.51920240575618,87.66980041157116
Textual Entailment,86.61167784035206,86.60569428900878,86.61740759015083
Title Generation,86.20726168840781,86.13960771428214,86.26385680834453
Word Analogy,80.66287171840668,80.6310225725174,80.63425159454346
