domains,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Fiction,93.37317310060773,93.36526204858508,93.39626368454525
Books,87.27532390753429,87.4331065416336,87.1186120112737
Economics,83.79852557182312,83.98692560195923,83.93223810195923
Law,94.84999691781822,94.32978354181562,94.3596715927124
Government and Politics,92.26605413854122,92.15568469464779,92.31288476288319
History,94.5594013184309,94.55849365890026,94.59484362602234
Computer Science,80.41153383255005,80.4590232372284,80.59569585323334
Natural Science,84.95868274569511,84.76588329672813,84.86014723777771
Nutrition,82.09503710269928,82.0995740890503,82.11880493164062
Food,84.15022653341293,84.06917250156403,83.89588749408722
Social Media,88.23901039361954,88.08362931013107,87.89491313695908
News,87.28551265171596,86.5562175341109,86.70106956616361
