reasoning,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Causal Reasoning,86.89853262901306,86.79059240221977,86.71045650541782
Analogical Reasoning,81.20280030038622,81.16693119208018,81.18321700890858
Commonsense Reasoning,85.4891661087672,85.47881417671839,85.53662166992824
Deductive Reasoning,86.42551517486572,85.84446883201599,86.34254068136215
Abductive Reasoning,89.6455710530281,89.46910947561264,89.51681786775589
Logical Reasoning,79.76923716068268,79.75882959365845,79.79749524593353
Multihop Reasoning,92.07079964876175,89.74484493808141,88.25556791964031
Cross-document Reasoning,92.07079964876175,93.47586852312088,91.62061470746994
Quantitative Reasoning,86.05608435471852,85.78350389003754,85.92228670914967
Temporal Reasoning,91.77002123991649,92.72744429111481,91.47317902247111
