categories,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Answerability Classification,50.69349277936495,51.08170577195975,51.08170577195975
Cause Effect Classification,51.66801597390856,51.920898641858784,51.920898641858784
Coreference Resolution,68.44901393141065,68.54082209723336,68.54082209723336
Data to Text,69.20127655978494,69.27883970625524,69.27883970625524
Dialogue Act Recognition,37.845223494938445,38.31224373408726,38.31224373408726
Grammar Error Correction,1.761109709739685,1.761109709739685,1.761109709739685
Keyword Tagging,45.95172970294952,46.287586665153505,46.287586665153505
Overlap Extraction,90.08256524801254,90.02592772245407,90.02592772245407
Question Rewriting,73.0860627564517,72.98625702207738,72.98625702207738
Textual Entailment,34.454337845245995,34.39529589315256,34.39529589315256
Title Generation,57.69901319344839,57.234983349388294,57.234983349388294
Word Analogy,81.25917488336563,81.60852517187595,81.60852517187595
