domains,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Anthropology,18.56479150056839,21.400549590587616,21.400549590587616
Books,64.60149788856506,64.57486220200856,64.57486220200856
Captions,30.8756822177342,29.627855522292002,29.627855522292002
Code,3.369441032409668,3.352261543273926,3.352261543273926
Commonsense,56.64755282402039,57.1712114906311,57.1712114906311
Computer Science,84.95285487174988,84.86193013191223,84.86193013191223
Debatepedia,5.693368434906006,5.6933677196502686,5.6933677196502686
Dialogue,56.52705252170563,56.68457942887356,56.68457942887356
Economics,77.84131443500519,79.46392691135406,79.46392691135406
English Exams,1.761109709739685,1.761109709739685,1.761109709739685
Fiction,54.88241878577641,55.678864870752605,55.678864870752605
Food,51.51251947879791,51.47904443740845,51.47904443740845
Formal logic,12.499203085899353,12.494488835334778,12.494488835334778
Government and Politics,66.47690065205097,66.64256192743778,66.64256192743778
History,42.23628559708595,43.650066897273064,43.650066897273064
Justice,18.56479150056839,21.400549590587616,21.400549590587616
Knowledge Base,41.87799155712128,41.84530460834503,41.84530460834503
Law,55.326326676777434,56.152966788836885,56.152966788836885
Linguistics,3.369441032409668,3.352261543273926,3.352261543273926
Miscellaneous,36.473969385027885,36.95079156756401,36.95079156756401
Movies,80.95284819602966,80.90061962604523,80.90061962604523
Narrative,61.5125190615654,61.196826472878456,61.196826472878456
Natural Science,41.065554082393646,41.07620272040367,41.07620272040367
News,47.42078456155797,48.08453008776805,48.08453008776805
Nutrition,76.54827344417572,76.50336480140686,76.50336480140686
Professions,20.41047239303589,22.06901788711548,22.06901788711548
Public Places,52.593424558639526,52.67030211289724,52.67030211289724
Reviews,27.347506721814472,27.382651845614117,27.382651845614117
School Science Textbooks,18.56479150056839,21.400549590587616,21.400549590587616
Scientific Research Papers,69.78306525945663,69.77163377404213,69.77163377404213
Social Media,56.753215074539185,56.615486443042755,56.615486443042755
Sports,85.97485698186435,86.02110812297234,86.02110812297234
Statistics,85.97485698186435,86.02110812297234,86.02110812297234
Story,58.594163465499875,57.791297507286075,57.791297507286075
Web,52.71012783050537,52.741621762514114,52.741621762514114
Wikipedia,68.87844708832827,68.79735036180654,68.79735036180654
