domains,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Fiction,54.88241878577641,55.678864870752605,55.678864870752605
Books,64.60149788856506,64.57486220200856,64.57486220200856
Economics,77.84131443500519,79.46392691135406,79.46392691135406
Law,55.326326676777434,56.152966788836885,56.152966788836885
Government and Politics,66.47690065205097,66.64256192743778,66.64256192743778
History,42.23628559708595,43.650066897273064,43.650066897273064
Computer Science,84.95285487174988,84.86193013191223,84.86193013191223
Natural Science,41.065554082393646,41.07620272040367,41.07620272040367
Nutrition,76.54827344417572,76.50336480140686,76.50336480140686
Food,51.51251947879791,51.47904443740845,51.47904443740845
Social Media,56.753215074539185,56.615486443042755,56.615486443042755
News,47.42078456155797,48.08453008776805,48.08453008776805
